id,name,latitude,longitude,rating
1,Укрнафта,49.81788701044041,23.902192196505254,7
2,Socar,49.818572326113625,23.904381697596268,9
3,Укрнафта,49.820670396956615,23.914762178030536,6
4,WOG,49.82243440254959,23.92016107602209,8
5,OKKO,49.823391422303544,23.92512822674332,9
6,БРСМ,49.83568019463102,23.99389019613509,7
7,Socar,49.84015434980031,23.999076754270874,9
8,OKKO,49.82398748862925,23.97786802273344,8
9,ANP,49.80779653434738,23.981244770598938,5
10,Укрнафта,49.804540735430336,23.997541633999457,6
11,БРСМ,49.81516708906528,23.91715489726896,7
12,БРСМ,49.816495860386055,23.889392117009862,7
13,Shell,49.78879754802993,23.944797755146308,8
14,OKKO,49.77880261335038,23.97565374821635,9
15,Укрнафта,49.767668722001176,24.082408738363714,6
16,OKKO,49.76665634507898,24.08271900884919,9
17,UPG,49.76760410149178,24.089122314364253,8
18,UPG,49.81784251988349,24.16155242619044,8
19,БРСМ,49.821861256263354,24.160744166558505,7
20,Shell,49.86614877883445,24.168159488635236,8
21,OKKO,49.89891632432016,24.14382361099701,9
22,OKKO,49.90166429293524,24.147680246910532,9
23,WOG,49.91224173301672,24.15745785008234,8
24,Shell,49.79698652841494,24.26839418671438,7
25,ANP,49.75179606367195,24.55892485121619,5
26,OKKO,49.80269695475025,24.872368879123723,9
